A monkey liked a dog that burned a plant .	monkey ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND burn . agent ( x _ 6 , x _ 4 ) AND burn . theme ( x _ 6 , x _ 8 ) AND plant ( x _ 8 )	like ( agent = monkey , theme = dog ( nmod = burn ( agent = dog , theme = plant ) ) )	
James helped the lion that held the cake .	* lion ( x _ 3 ) ; * cake ( x _ 7 ) ; help . agent ( x _ 1 , James ) AND help . theme ( x _ 1 , x _ 3 ) AND lion . nmod ( x _ 3 , x _ 5 ) AND hold . agent ( x _ 5 , x _ 3 ) AND hold . theme ( x _ 5 , x _ 7 )	help ( agent = James , theme = * lion ( nmod = hold ( agent = * lion , theme = * cake ) ) )	
Olivia cooked the mouse that a buyer appreciated .	* mouse ( x _ 3 ) ; cook . agent ( x _ 1 , Olivia ) AND cook . theme ( x _ 1 , x _ 3 ) AND mouse . nmod ( x _ 3 , x _ 7 ) AND buyer ( x _ 6 ) AND appreciate . agent ( x _ 7 , x _ 6 ) AND appreciate . theme ( x _ 7 , x _ 3 )	cook ( agent = Olivia , theme = * mouse ( nmod = appreciate ( agent = buyer , theme = * mouse ) ) )	
Noah appreciated the cake that was drawn by Emma .	* cake ( x _ 3 ) ; appreciate . agent ( x _ 1 , Noah ) AND appreciate . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND draw . theme ( x _ 6 , x _ 3 ) AND draw . agent ( x _ 6 , Emma )	appreciate ( agent = Noah , theme = * cake ( nmod = draw ( theme = * cake , agent = Emma ) ) )	
A girl slid a cake that was lended to the child by the boy .	* child ( x _ 10 ) ; * boy ( x _ 13 ) ; girl ( x _ 1 ) AND slide . agent ( x _ 2 , x _ 1 ) AND slide . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND lend . theme ( x _ 7 , x _ 4 ) AND lend . recipient ( x _ 7 , x _ 10 ) AND lend . agent ( x _ 7 , x _ 13 )	slide ( agent = girl , theme = cake ( nmod = lend ( theme = cake , recipient = * child , agent = * boy ) ) )	
Noah grew the mouse that gave a crystal to the boy .	* mouse ( x _ 3 ) ; * boy ( x _ 10 ) ; grow . agent ( x _ 1 , Noah ) AND grow . theme ( x _ 1 , x _ 3 ) AND mouse . nmod ( x _ 3 , x _ 5 ) AND give . agent ( x _ 5 , x _ 3 ) AND give . theme ( x _ 5 , x _ 7 ) AND give . recipient ( x _ 5 , x _ 10 ) AND crystal ( x _ 7 )	grow ( agent = Noah , theme = * mouse ( nmod = give ( agent = * mouse , theme = crystal , recipient = * boy ) ) )	
The girl cooked the baby that Victoria rolled .	* girl ( x _ 1 ) ; * baby ( x _ 4 ) ; cook . agent ( x _ 2 , x _ 1 ) AND cook . theme ( x _ 2 , x _ 4 ) AND baby . nmod ( x _ 4 , x _ 7 ) AND roll . agent ( x _ 7 , Victoria ) AND roll . theme ( x _ 7 , x _ 4 )	cook ( agent = * girl , theme = * baby ( nmod = roll ( agent = Victoria , theme = * baby ) ) )	
Emma froze Violet that a girl rolled .	freeze . agent ( x _ 1 , Emma ) AND freeze . theme ( x _ 1 , Violet ) AND Violet . nmod ( x _ 2 , x _ 6 ) AND girl ( x _ 5 ) AND roll . agent ( x _ 6 , x _ 5 ) AND roll . theme ( x _ 6 , Violet )	freeze ( agent = Emma , theme = Violet ( nmod = roll ( agent = girl , theme = Violet ) ) )	
Lucas drew the pony that said that Emma hoped that the cake was eaten by James .	* pony ( x _ 3 ) ; * cake ( x _ 11 ) ; draw . agent ( x _ 1 , Lucas ) AND draw . theme ( x _ 1 , x _ 3 ) AND pony . nmod ( x _ 3 , x _ 5 ) AND say . agent ( x _ 5 , x _ 3 ) AND say . ccomp ( x _ 5 , x _ 8 ) AND hope . agent ( x _ 8 , Emma ) AND hope . ccomp ( x _ 8 , x _ 13 ) AND eat . theme ( x _ 13 , x _ 11 ) AND eat . agent ( x _ 13 , James )	draw ( agent = Lucas , theme = * pony ( nmod = say ( agent = * pony , ccomp = hope ( agent = Emma , ccomp = eat ( theme = * cake , agent = James ) ) ) ) )	
Emma froze the rose that Liam painted .	* rose ( x _ 3 ) ; freeze . agent ( x _ 1 , Emma ) AND freeze . theme ( x _ 1 , x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND paint . agent ( x _ 6 , Liam ) AND paint . theme ( x _ 6 , x _ 3 )	freeze ( agent = Emma , theme = * rose ( nmod = paint ( agent = Liam , theme = * rose ) ) )	
A pupil liked that Olivia painted a melon that was served to Gabriel by a boy .	pupil ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND paint . agent ( x _ 5 , Olivia ) AND paint . theme ( x _ 5 , x _ 7 ) AND melon ( x _ 7 ) AND melon . nmod ( x _ 7 , x _ 10 ) AND serve . theme ( x _ 10 , x _ 7 ) AND serve . recipient ( x _ 10 , Gabriel ) AND serve . agent ( x _ 10 , x _ 15 ) AND boy ( x _ 15 )	like ( agent = pupil , ccomp = paint ( agent = Olivia , theme = melon ( nmod = serve ( theme = melon , recipient = Gabriel , agent = boy ) ) ) )	
Charlotte sold Emma a cake that was admired .	sell . agent ( x _ 1 , Charlotte ) AND sell . recipient ( x _ 1 , Emma ) AND sell . theme ( x _ 1 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND admire . theme ( x _ 7 , x _ 4 )	sell ( agent = Charlotte , recipient = Emma , theme = cake ( nmod = admire ( theme = cake ) ) )	
Noah sent a cake that Layla ate to Emma .	send . agent ( x _ 1 , Noah ) AND send . theme ( x _ 1 , x _ 3 ) AND send . recipient ( x _ 1 , Emma ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Layla ) AND eat . theme ( x _ 6 , x _ 3 )	send ( agent = Noah , theme = cake ( nmod = eat ( agent = Layla , theme = cake ) ) , recipient = Emma )	
The baby offered the cat the cake that was eaten by the father .	* baby ( x _ 1 ) ; * cat ( x _ 4 ) ; * cake ( x _ 6 ) ; * father ( x _ 12 ) ; offer . agent ( x _ 2 , x _ 1 ) AND offer . recipient ( x _ 2 , x _ 4 ) AND offer . theme ( x _ 2 , x _ 6 ) AND cake . nmod ( x _ 6 , x _ 9 ) AND eat . theme ( x _ 9 , x _ 6 ) AND eat . agent ( x _ 9 , x _ 12 )	offer ( agent = * baby , recipient = * cat , theme = * cake ( nmod = eat ( theme = * cake , agent = * father ) ) )	
Nathan observed the governor that fed a monkey the beer .	* governor ( x _ 3 ) ; * beer ( x _ 9 ) ; observe . agent ( x _ 1 , Nathan ) AND observe . theme ( x _ 1 , x _ 3 ) AND governor . nmod ( x _ 3 , x _ 5 ) AND feed . agent ( x _ 5 , x _ 3 ) AND feed . recipient ( x _ 5 , x _ 7 ) AND feed . theme ( x _ 5 , x _ 9 ) AND monkey ( x _ 7 )	observe ( agent = Nathan , theme = * governor ( nmod = feed ( agent = * governor , recipient = monkey , theme = * beer ) ) )	
Liam shortened Emma that the boy froze .	* boy ( x _ 5 ) ; shorten . agent ( x _ 1 , Liam ) AND shorten . theme ( x _ 1 , Emma ) AND Emma . nmod ( x _ 2 , x _ 6 ) AND freeze . agent ( x _ 6 , x _ 5 ) AND freeze . theme ( x _ 6 , Emma )	shorten ( agent = Liam , theme = Emma ( nmod = freeze ( agent = * boy , theme = Emma ) ) )	
Olivia appreciated the bunny that Liam snapped .	* bunny ( x _ 3 ) ; appreciate . agent ( x _ 1 , Olivia ) AND appreciate . theme ( x _ 1 , x _ 3 ) AND bunny . nmod ( x _ 3 , x _ 6 ) AND snap . agent ( x _ 6 , Liam ) AND snap . theme ( x _ 6 , x _ 3 )	appreciate ( agent = Olivia , theme = * bunny ( nmod = snap ( agent = Liam , theme = * bunny ) ) )	
The girl offered Ava the rose that James valued .	* girl ( x _ 1 ) ; * rose ( x _ 5 ) ; offer . agent ( x _ 2 , x _ 1 ) AND offer . recipient ( x _ 2 , Ava ) AND offer . theme ( x _ 2 , x _ 5 ) AND rose . nmod ( x _ 5 , x _ 8 ) AND value . agent ( x _ 8 , James ) AND value . theme ( x _ 8 , x _ 5 )	offer ( agent = * girl , recipient = Ava , theme = * rose ( nmod = value ( agent = James , theme = * rose ) ) )	
Emma liked Liam that Olivia shortened .	like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , Liam ) AND Liam . nmod ( x _ 2 , x _ 5 ) AND shorten . agent ( x _ 5 , Olivia ) AND shorten . theme ( x _ 5 , Liam )	like ( agent = Emma , theme = Liam ( nmod = shorten ( agent = Olivia , theme = Liam ) ) )	
The pupil found Emma that Liam ate .	* pupil ( x _ 1 ) ; find . agent ( x _ 2 , x _ 1 ) AND find . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Liam ) AND eat . theme ( x _ 6 , Emma )	find ( agent = * pupil , theme = Emma ( nmod = eat ( agent = Liam , theme = Emma ) ) )	
A frog offered a cake that the child painted to a girl .	* child ( x _ 7 ) ; frog ( x _ 1 ) AND offer . agent ( x _ 2 , x _ 1 ) AND offer . theme ( x _ 2 , x _ 4 ) AND offer . recipient ( x _ 2 , x _ 11 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND paint . agent ( x _ 8 , x _ 7 ) AND paint . theme ( x _ 8 , x _ 4 ) AND girl ( x _ 11 )	offer ( agent = frog , theme = cake ( nmod = paint ( agent = * child , theme = cake ) ) , recipient = girl )	
The girl liked Olivia that the cat respected .	* girl ( x _ 1 ) ; * cat ( x _ 6 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , Olivia ) AND Olivia . nmod ( x _ 3 , x _ 7 ) AND respect . agent ( x _ 7 , x _ 6 ) AND respect . theme ( x _ 7 , Olivia )	like ( agent = * girl , theme = Olivia ( nmod = respect ( agent = * cat , theme = Olivia ) ) )	
Emma improved the radio that the frog gave the cat .	* radio ( x _ 3 ) ; * frog ( x _ 6 ) ; * cat ( x _ 9 ) ; improve . agent ( x _ 1 , Emma ) AND improve . theme ( x _ 1 , x _ 3 ) AND radio . nmod ( x _ 3 , x _ 7 ) AND give . agent ( x _ 7 , x _ 6 ) AND give . recipient ( x _ 7 , x _ 9 ) AND give . theme ( x _ 7 , x _ 3 )	improve ( agent = Emma , theme = * radio ( nmod = give ( agent = * frog , recipient = * cat , theme = * radio ) ) )	
The dog liked a donut that was doubled by the child .	* dog ( x _ 1 ) ; * child ( x _ 10 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 7 ) AND double . theme ( x _ 7 , x _ 4 ) AND double . agent ( x _ 7 , x _ 10 )	like ( agent = * dog , theme = donut ( nmod = double ( theme = donut , agent = * child ) ) )	
A teacher discovered a scientist that packed .	teacher ( x _ 1 ) AND discover . agent ( x _ 2 , x _ 1 ) AND discover . theme ( x _ 2 , x _ 4 ) AND scientist ( x _ 4 ) AND scientist . nmod ( x _ 4 , x _ 6 ) AND pack . agent ( x _ 6 , x _ 4 )	discover ( agent = teacher , theme = scientist ( nmod = pack ( agent = scientist ) ) )	
Emma wired a teacher a gumball that Penelope gave to a girl .	wire . agent ( x _ 1 , Emma ) AND wire . recipient ( x _ 1 , x _ 3 ) AND wire . theme ( x _ 1 , x _ 5 ) AND teacher ( x _ 3 ) AND gumball ( x _ 5 ) AND gumball . nmod ( x _ 5 , x _ 8 ) AND give . agent ( x _ 8 , Penelope ) AND give . recipient ( x _ 8 , x _ 11 ) AND give . theme ( x _ 8 , x _ 5 ) AND girl ( x _ 11 )	wire ( agent = Emma , recipient = teacher , theme = gumball ( nmod = give ( agent = Penelope , recipient = girl , theme = gumball ) ) )	
Emma liked a glue that was fed to a priest .	like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , x _ 3 ) AND glue ( x _ 3 ) AND glue . nmod ( x _ 3 , x _ 6 ) AND feed . theme ( x _ 6 , x _ 3 ) AND feed . recipient ( x _ 6 , x _ 9 ) AND priest ( x _ 9 )	like ( agent = Emma , theme = glue ( nmod = feed ( theme = glue , recipient = priest ) ) )	
A professor painted the gumball that rolled .	* gumball ( x _ 4 ) ; professor ( x _ 1 ) AND paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND gumball . nmod ( x _ 4 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )	paint ( agent = professor , theme = * gumball ( nmod = roll ( theme = * gumball ) ) )	
The boy floated Emma that Aiden pierced .	* boy ( x _ 1 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 6 ) AND pierce . agent ( x _ 6 , Aiden ) AND pierce . theme ( x _ 6 , Emma )	float ( agent = * boy , theme = Emma ( nmod = pierce ( agent = Aiden , theme = Emma ) ) )	
The dog helped Emma that Noah ate .	* dog ( x _ 1 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Noah ) AND eat . theme ( x _ 6 , Emma )	help ( agent = * dog , theme = Emma ( nmod = eat ( agent = Noah , theme = Emma ) ) )	
The baby ate the cake that Jackson gave a girl .	* baby ( x _ 1 ) ; * cake ( x _ 4 ) ; eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND give . agent ( x _ 7 , Jackson ) AND give . recipient ( x _ 7 , x _ 9 ) AND give . theme ( x _ 7 , x _ 4 ) AND girl ( x _ 9 )	eat ( agent = * baby , theme = * cake ( nmod = give ( agent = Jackson , recipient = girl , theme = * cake ) ) )	
A researcher rolled a girl that gasped .	researcher ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND gasp . agent ( x _ 6 , x _ 4 )	roll ( agent = researcher , theme = girl ( nmod = gasp ( agent = girl ) ) )	
A dog loaned Ella a cake that Olivia ate .	dog ( x _ 1 ) AND loan . agent ( x _ 2 , x _ 1 ) AND loan . recipient ( x _ 2 , Ella ) AND loan . theme ( x _ 2 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod ( x _ 5 , x _ 8 ) AND eat . agent ( x _ 8 , Olivia ) AND eat . theme ( x _ 8 , x _ 5 )	loan ( agent = dog , recipient = Ella , theme = cake ( nmod = eat ( agent = Olivia , theme = cake ) ) )	
A host floated the cake that was hunted .	* cake ( x _ 4 ) ; host ( x _ 1 ) AND float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND hunt . theme ( x _ 7 , x _ 4 )	float ( agent = host , theme = * cake ( nmod = hunt ( theme = * cake ) ) )	
A professor loaned a girl a sandwich that was awarded to Emma .	professor ( x _ 1 ) AND loan . agent ( x _ 2 , x _ 1 ) AND loan . recipient ( x _ 2 , x _ 4 ) AND loan . theme ( x _ 2 , x _ 6 ) AND girl ( x _ 4 ) AND sandwich ( x _ 6 ) AND sandwich . nmod ( x _ 6 , x _ 9 ) AND award . theme ( x _ 9 , x _ 6 ) AND award . recipient ( x _ 9 , Emma )	loan ( agent = professor , recipient = girl , theme = sandwich ( nmod = award ( theme = sandwich , recipient = Emma ) ) )	
A girl cooked the judge that Liam dusted .	* judge ( x _ 4 ) ; girl ( x _ 1 ) AND cook . agent ( x _ 2 , x _ 1 ) AND cook . theme ( x _ 2 , x _ 4 ) AND judge . nmod ( x _ 4 , x _ 7 ) AND dust . agent ( x _ 7 , Liam ) AND dust . theme ( x _ 7 , x _ 4 )	cook ( agent = girl , theme = * judge ( nmod = dust ( agent = Liam , theme = * judge ) ) )	
A frog froze Emma that Liam slid .	frog ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 6 ) AND slide . agent ( x _ 6 , Liam ) AND slide . theme ( x _ 6 , Emma )	freeze ( agent = frog , theme = Emma ( nmod = slide ( agent = Liam , theme = Emma ) ) )	
William lended the cat the radio that was rolled by a penguin .	* cat ( x _ 3 ) ; * radio ( x _ 5 ) ; lend . agent ( x _ 1 , William ) AND lend . recipient ( x _ 1 , x _ 3 ) AND lend . theme ( x _ 1 , x _ 5 ) AND radio . nmod ( x _ 5 , x _ 8 ) AND roll . theme ( x _ 8 , x _ 5 ) AND roll . agent ( x _ 8 , x _ 11 ) AND penguin ( x _ 11 )	lend ( agent = William , recipient = * cat , theme = * radio ( nmod = roll ( theme = * radio , agent = penguin ) ) )	
Isabella loved a lion that valued that Emma sold the giraffe a bucket .	* giraffe ( x _ 10 ) ; love . agent ( x _ 1 , Isabella ) AND love . theme ( x _ 1 , x _ 3 ) AND lion ( x _ 3 ) AND lion . nmod ( x _ 3 , x _ 5 ) AND value . agent ( x _ 5 , x _ 3 ) AND value . ccomp ( x _ 5 , x _ 8 ) AND sell . agent ( x _ 8 , Emma ) AND sell . recipient ( x _ 8 , x _ 10 ) AND sell . theme ( x _ 8 , x _ 12 ) AND bucket ( x _ 12 )	love ( agent = Isabella , theme = lion ( nmod = value ( agent = lion , ccomp = sell ( agent = Emma , recipient = * giraffe , theme = bucket ) ) ) )	
Aubrey liked a lollipop that the girl returned the fly .	* girl ( x _ 6 ) ; * fly ( x _ 9 ) ; like . agent ( x _ 1 , Aubrey ) AND like . theme ( x _ 1 , x _ 3 ) AND lollipop ( x _ 3 ) AND lollipop . nmod ( x _ 3 , x _ 7 ) AND return . agent ( x _ 7 , x _ 6 ) AND return . recipient ( x _ 7 , x _ 9 ) AND return . theme ( x _ 7 , x _ 3 )	like ( agent = Aubrey , theme = lollipop ( nmod = return ( agent = * girl , recipient = * fly , theme = lollipop ) ) )	
The president offered Mia a bowl that was frozen .	* president ( x _ 1 ) ; offer . agent ( x _ 2 , x _ 1 ) AND offer . recipient ( x _ 2 , Mia ) AND offer . theme ( x _ 2 , x _ 5 ) AND bowl ( x _ 5 ) AND bowl . nmod ( x _ 5 , x _ 8 ) AND freeze . theme ( x _ 8 , x _ 5 )	offer ( agent = * president , recipient = Mia , theme = bowl ( nmod = freeze ( theme = bowl ) ) )	
The boy painted the cake that was rolled by a teacher .	* boy ( x _ 1 ) ; * cake ( x _ 4 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND roll . theme ( x _ 7 , x _ 4 ) AND roll . agent ( x _ 7 , x _ 10 ) AND teacher ( x _ 10 )	paint ( agent = * boy , theme = * cake ( nmod = roll ( theme = * cake , agent = teacher ) ) )	
The boy cleaned a drink that the monkey painted .	* boy ( x _ 1 ) ; * monkey ( x _ 7 ) ; clean . agent ( x _ 2 , x _ 1 ) AND clean . theme ( x _ 2 , x _ 4 ) AND drink ( x _ 4 ) AND drink . nmod ( x _ 4 , x _ 8 ) AND paint . agent ( x _ 8 , x _ 7 ) AND paint . theme ( x _ 8 , x _ 4 )	clean ( agent = * boy , theme = drink ( nmod = paint ( agent = * monkey , theme = drink ) ) )	
A boy froze the drink that was thrown .	* drink ( x _ 4 ) ; boy ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND drink . nmod ( x _ 4 , x _ 7 ) AND throw . theme ( x _ 7 , x _ 4 )	freeze ( agent = boy , theme = * drink ( nmod = throw ( theme = * drink ) ) )	
Emma dusted the cake that was rolled by Lucas .	* cake ( x _ 3 ) ; dust . agent ( x _ 1 , Emma ) AND dust . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 3 ) AND roll . agent ( x _ 6 , Lucas )	dust ( agent = Emma , theme = * cake ( nmod = roll ( theme = * cake , agent = Lucas ) ) )	
The boy liked a girl that Emma ate .	* boy ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Emma ) AND eat . theme ( x _ 7 , x _ 4 )	like ( agent = * boy , theme = girl ( nmod = eat ( agent = Emma , theme = girl ) ) )	
Oliver froze Emma that Ava rolled .	freeze . agent ( x _ 1 , Oliver ) AND freeze . theme ( x _ 1 , Emma ) AND Emma . nmod ( x _ 2 , x _ 5 ) AND roll . agent ( x _ 5 , Ava ) AND roll . theme ( x _ 5 , Emma )	freeze ( agent = Oliver , theme = Emma ( nmod = roll ( agent = Ava , theme = Emma ) ) )	
Emma gave a cake that shortened to a boy .	give . agent ( x _ 1 , Emma ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 8 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 5 ) AND shorten . theme ( x _ 5 , x _ 3 ) AND boy ( x _ 8 )	give ( agent = Emma , theme = cake ( nmod = shorten ( theme = cake ) ) , recipient = boy )	
Isabella helped the donut that Olivia gave to a driver .	* donut ( x _ 3 ) ; help . agent ( x _ 1 , Isabella ) AND help . theme ( x _ 1 , x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND give . agent ( x _ 6 , Olivia ) AND give . recipient ( x _ 6 , x _ 9 ) AND give . theme ( x _ 6 , x _ 3 ) AND driver ( x _ 9 )	help ( agent = Isabella , theme = * donut ( nmod = give ( agent = Olivia , recipient = driver , theme = * donut ) ) )	
Emma liked that Liam burned Ethan that the driver rolled .	* driver ( x _ 8 ) ; like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 4 ) AND burn . agent ( x _ 4 , Liam ) AND burn . theme ( x _ 4 , Ethan ) AND Ethan . nmod ( x _ 5 , x _ 9 ) AND roll . agent ( x _ 9 , x _ 8 ) AND roll . theme ( x _ 9 , Ethan )	like ( agent = Emma , ccomp = burn ( agent = Liam , theme = Ethan ( nmod = roll ( agent = * driver , theme = Ethan ) ) ) )	
Emma wished that a boy liked the donut that was burned by a student .	* donut ( x _ 7 ) ; wish . agent ( x _ 1 , Emma ) AND wish . ccomp ( x _ 1 , x _ 5 ) AND boy ( x _ 4 ) AND like . agent ( x _ 5 , x _ 4 ) AND like . theme ( x _ 5 , x _ 7 ) AND donut . nmod ( x _ 7 , x _ 10 ) AND burn . theme ( x _ 10 , x _ 7 ) AND burn . agent ( x _ 10 , x _ 13 ) AND student ( x _ 13 )	wish ( agent = Emma , ccomp = like ( agent = boy , theme = * donut ( nmod = burn ( theme = * donut , agent = student ) ) ) )	
Emma poked the rose that was lended to a pupil by a girl .	* rose ( x _ 3 ) ; poke . agent ( x _ 1 , Emma ) AND poke . theme ( x _ 1 , x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND lend . theme ( x _ 6 , x _ 3 ) AND lend . recipient ( x _ 6 , x _ 9 ) AND lend . agent ( x _ 6 , x _ 12 ) AND pupil ( x _ 9 ) AND girl ( x _ 12 )	poke ( agent = Emma , theme = * rose ( nmod = lend ( theme = * rose , recipient = pupil , agent = girl ) ) )	
Olivia missed a cake that Emma pierced .	miss . agent ( x _ 1 , Olivia ) AND miss . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND pierce . agent ( x _ 6 , Emma ) AND pierce . theme ( x _ 6 , x _ 3 )	miss ( agent = Olivia , theme = cake ( nmod = pierce ( agent = Emma , theme = cake ) ) )	
Olivia lended Sophia the cake that was offered to a monkey .	* cake ( x _ 4 ) ; lend . agent ( x _ 1 , Olivia ) AND lend . recipient ( x _ 1 , Sophia ) AND lend . theme ( x _ 1 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND offer . theme ( x _ 7 , x _ 4 ) AND offer . recipient ( x _ 7 , x _ 10 ) AND monkey ( x _ 10 )	lend ( agent = Olivia , recipient = Sophia , theme = * cake ( nmod = offer ( theme = * cake , recipient = monkey ) ) )	
Layla ate the cake that Emma saw .	* cake ( x _ 3 ) ; eat . agent ( x _ 1 , Layla ) AND eat . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND see . agent ( x _ 6 , Emma ) AND see . theme ( x _ 6 , x _ 3 )	eat ( agent = Layla , theme = * cake ( nmod = see ( agent = Emma , theme = * cake ) ) )	
Emma broke the cake that was called .	* cake ( x _ 3 ) ; break . agent ( x _ 1 , Emma ) AND break . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND call . theme ( x _ 6 , x _ 3 )	break ( agent = Emma , theme = * cake ( nmod = call ( theme = * cake ) ) )	
A goose helped a girl that saw .	goose ( x _ 1 ) AND help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND see . agent ( x _ 6 , x _ 4 )	help ( agent = goose , theme = girl ( nmod = see ( agent = girl ) ) )	
The teacher knew the rose that the cat gave a chicken .	* teacher ( x _ 1 ) ; * rose ( x _ 4 ) ; * cat ( x _ 7 ) ; know . agent ( x _ 2 , x _ 1 ) AND know . theme ( x _ 2 , x _ 4 ) AND rose . nmod ( x _ 4 , x _ 8 ) AND give . agent ( x _ 8 , x _ 7 ) AND give . recipient ( x _ 8 , x _ 10 ) AND give . theme ( x _ 8 , x _ 4 ) AND chicken ( x _ 10 )	know ( agent = * teacher , theme = * rose ( nmod = give ( agent = * cat , recipient = chicken , theme = * rose ) ) )	
The baby liked the box that was found by Emma .	* baby ( x _ 1 ) ; * box ( x _ 4 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND box . nmod ( x _ 4 , x _ 7 ) AND find . theme ( x _ 7 , x _ 4 ) AND find . agent ( x _ 7 , Emma )	like ( agent = * baby , theme = * box ( nmod = find ( theme = * box , agent = Emma ) ) )	
A horse froze a rose that was liked .	horse ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND rose ( x _ 4 ) AND rose . nmod ( x _ 4 , x _ 7 ) AND like . theme ( x _ 7 , x _ 4 )	freeze ( agent = horse , theme = rose ( nmod = like ( theme = rose ) ) )	
Ava helped a cake that was broken .	help . agent ( x _ 1 , Ava ) AND help . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND break . theme ( x _ 6 , x _ 3 )	help ( agent = Ava , theme = cake ( nmod = break ( theme = cake ) ) )	
A girl rolled the donut that the bunny froze .	* donut ( x _ 4 ) ; * bunny ( x _ 7 ) ; girl ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND donut . nmod ( x _ 4 , x _ 8 ) AND freeze . agent ( x _ 8 , x _ 7 ) AND freeze . theme ( x _ 8 , x _ 4 )	roll ( agent = girl , theme = * donut ( nmod = freeze ( agent = * bunny , theme = * donut ) ) )	
